ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AllocationTime
Gal Gadot,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,11
Anonymous Narwhal,2.0,4.0,2.0,-0.0,3.0,3.0,2.0,3.0,4.0,1.0,0.0,4.0,4.0,0.0,2.0,4.0,0.0,2.0,4.0,11
csk6snj,-0.0,3.0,3.0,-0.0,1.0,3.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,11
blacklodge,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,-0.0,1.0,2.0,0.0,1.0,3.0,11
nm2fs,3.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,11
ae3xd,1.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,1.000000057067702,3.0,3.0,3.0,-0.0,2.0,11
znp3ev,6.0,0.0,0.0,5.0,5.0,5.0,7.0,6.0,6.0,4.0,1.0,7.0,6.0,1.0,5.0,5.0,-0.0,6.0,0.0,11
zqz8ae,2.0,8.0,5.0,4.0,1.0,0.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,5.0,3.0,11
ak3gj,-0.0,5.0,0.0,3.0,5.0,4.0,4.0,0.0,4.0,6.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0,5.0,3.0,11
pex7ps,5.0,0.0,5.0,3.0,1.0,3.0,-0.0,4.0,0.0,5.0,3.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,1.0,11
